model,accuracy,sample_size,country
claude-3-5-sonnet-20241022,0.756,500,Italy
claude-3-opus-20240229,0.732,500,Italy
gpt-4o,0.726,500,Italy
llama3.3:latest,0.72,500,Italy
qwen2.5:72b-instruct,0.72,500,Italy
gpt-4o-mini,0.702,500,Italy
deepseek-chat,0.692,500,Italy
gemini-1.5-pro,0.686,500,Italy
claude-3-5-haiku-20241022,0.678,500,Italy
gemini-1.5-flash,0.678,500,Italy
llama3.1:latest,0.618,500,Italy
gemini-1.5-flash-8b,0.618,500,Italy
llama3.2:latest,0.498,500,Italy
Llama-3.2-3B-Instruct-4bit,0.476,500,Italy
deepseek/deepseek-chat,0.622,500,Italy
smallthinker,0.434,500,Italy
falcon3:10b,0.596,500,Italy
mistral:7b,0.678,500,Italy
phi-4,0.662,500,Italy
